sex	age	l	m	s	SD2neg	SD1neg	SD0	SD1	SD2	SD3
1	61	1	110.2647	96.49	101.082	105.673	110.265	114.856	119.448	124.039
1	62	1	110.8006	96.933	101.555	106.178	110.801	115.423	120.046	124.668
1	63	1	111.3338	97.373	102.026	106.68	111.334	115.988	120.641	125.295
1	64	1	111.8636	97.812	102.496	107.18	111.864	116.547	121.231	125.915
1	65	1	112.3895	98.245	102.96	107.675	112.39	117.104	121.819	126.534
1	66	1	112.9110	98.674	103.42	108.165	112.911	117.657	122.402	127.148
1	67	1	113.4280	99.099	103.875	108.652	113.428	118.204	122.981	127.757
1	68	1	113.9410	99.523	104.329	109.135	113.941	118.747	123.553	128.359
1	69	1	114.4500	99.94	104.777	109.613	114.45	119.287	124.123	128.96
1	70	1	114.9547	100.353	105.22	110.088	114.955	119.822	124.689	129.556
1	71	1	115.4549	100.766	105.662	110.558	115.455	120.351	125.248	130.144
1	72	1	115.9509	101.171	106.097	111.024	115.951	120.878	125.804	130.731
1	73	1	116.4432	101.572	106.529	111.486	116.443	121.4	126.357	131.314
1	74	1	116.9325	101.974	106.96	111.946	116.932	121.919	126.905	131.891
1	75	1	117.4196	102.371	107.387	112.403	117.42	122.436	127.452	132.468
1	76	1	117.9046	102.766	107.812	112.858	117.905	122.951	127.997	133.044
1	77	1	118.3880	103.162	108.237	113.313	118.388	123.463	128.539	133.614
1	78	1	118.8700	103.554	108.659	113.765	118.87	123.975	129.081	134.186
1	79	1	119.3508	103.944	109.079	114.215	119.351	124.486	129.622	134.758
1	80	1	119.8303	104.333	109.499	114.664	119.83	124.996	130.162	135.328
1	81	1	120.3085	104.724	109.919	115.114	120.308	125.503	130.698	135.893
1	82	1	120.7853	105.11	110.335	115.56	120.785	126.01	131.236	136.461
1	83	1	121.2604	105.494	110.75	116.005	121.26	126.516	131.771	137.027
1	84	1	121.7338	105.877	111.162	116.448	121.734	127.019	132.305	137.591
1	85	1	122.2053	106.258	111.573	116.889	122.205	127.521	132.837	138.153
1	86	1	122.6750	106.636	111.983	117.329	122.675	128.021	133.367	138.714
1	87	1	123.1429	107.014	112.39	117.766	123.143	128.519	133.896	139.272
1	88	1	123.6092	107.389	112.796	118.203	123.609	129.016	134.423	139.829
1	89	1	124.0736	107.763	113.2	118.637	124.074	129.511	134.947	140.384
1	90	1	124.5361	108.135	113.602	119.069	124.536	130.003	135.47	140.938
1	91	1	124.9964	108.504	114.002	119.499	124.996	130.494	135.991	141.488
1	92	1	125.4545	108.872	114.399	119.927	125.454	130.982	136.51	142.037
1	93	1	125.9104	109.237	114.795	120.353	125.91	131.468	137.026	142.583
1	94	1	126.3640	109.601	115.188	120.776	126.364	131.952	137.54	143.127
1	95	1	126.8156	109.962	115.58	121.198	126.816	132.434	138.051	143.669
1	96	1	127.2651	110.321	115.969	121.617	127.265	132.913	138.561	144.209
1	97	1	127.7129	110.679	116.357	122.035	127.713	133.391	139.069	144.747
1	98	1	128.1590	111.034	116.743	122.451	128.159	133.867	139.575	145.284
1	99	1	128.6034	111.389	117.127	122.865	128.603	134.342	140.08	145.818
1	100	1	129.0466	111.741	117.51	123.278	129.047	134.815	140.583	146.352
1	101	1	129.4887	112.093	117.892	123.69	129.489	135.287	141.086	146.884
1	102	1	129.9300	112.44	118.27	124.1	129.93	135.76	141.59	147.42
1	103	1	130.3705	112.79	118.65	124.51	130.37	136.231	142.091	147.951
1	104	1	130.8103	113.139	119.03	124.92	130.81	136.701	142.591	148.481
1	105	1	131.2495	113.488	119.408	125.329	131.25	137.17	143.091	149.011
1	106	1	131.6884	113.835	119.786	125.737	131.688	137.639	143.59	149.541
1	107	1	132.1269	114.183	120.164	126.146	132.127	138.108	144.09	150.071
1	108	1	132.5652	114.53	120.542	126.553	132.565	138.577	144.589	150.601
1	109	1	133.0031	114.876	120.918	126.961	133.003	139.045	145.088	151.13
1	110	1	133.4404	115.222	121.295	127.368	133.44	139.513	145.586	151.659
1	111	1	133.8770	115.567	121.67	127.774	133.877	139.98	146.084	152.187
1	112	1	134.3130	115.915	122.048	128.18	134.313	140.446	146.578	152.711
1	113	1	134.7483	116.258	122.422	128.585	134.748	140.912	147.075	153.238
1	114	1	135.1829	116.601	122.795	128.989	135.183	141.377	147.571	153.765
1	115	1	135.6168	116.946	123.17	129.393	135.617	141.84	148.064	154.287
1	116	1	136.0501	117.287	123.542	129.796	136.05	142.304	148.559	154.813
1	117	1	136.4829	117.632	123.916	130.199	136.483	142.767	149.05	155.334
1	118	1	136.9153	117.972	124.286	130.601	136.915	143.23	149.544	155.859
1	119	1	137.3474	118.315	124.659	131.003	137.347	143.691	150.036	156.38
1	120	1	137.7795	118.658	125.032	131.406	137.78	144.153	150.527	156.901
1	121	1	138.2119	119.002	125.405	131.809	138.212	144.615	151.019	157.422
1	122	1	138.6452	119.346	125.779	132.212	138.645	145.078	151.511	157.945
1	123	1	139.0797	119.691	126.154	132.617	139.08	145.543	152.006	158.469
1	124	1	139.5158	120.037	126.53	133.023	139.516	146.009	152.502	158.995
1	125	1	139.9540	120.384	126.907	133.431	139.954	146.477	153.001	159.524
1	126	1	140.3948	120.738	127.29	133.843	140.395	146.947	153.499	160.051
1	127	1	140.8387	121.09	127.673	134.256	140.839	147.422	154.004	160.587
1	128	1	141.2859	121.449	128.062	134.674	141.286	147.898	154.51	161.122
1	129	1	141.7368	121.811	128.453	135.095	141.737	148.379	155.02	161.662
1	130	1	142.1916	122.177	128.848	135.52	142.192	148.863	155.535	162.206
1	131	1	142.6501	122.545	129.247	135.948	142.65	149.352	156.054	162.755
1	132	1	143.1126	122.921	129.651	136.382	143.113	149.843	156.574	163.304
1	133	1	143.5795	123.296	130.057	136.818	143.58	150.341	157.102	163.863
1	134	1	144.0511	123.679	130.47	137.261	144.051	150.842	157.632	164.423
