Height	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
65.0	5.095	5.583	6.071	6.620	7.240	7.944	8.746	9.664	10.583
65.1	5.111	5.600	6.090	6.640	7.263	7.969	8.773	9.694	10.615
65.2	5.127	5.618	6.109	6.661	7.285	7.993	8.800	9.724	10.648
65.3	5.143	5.635	6.128	6.682	7.308	8.018	8.827	9.753	10.680
65.4	5.158	5.652	6.146	6.702	7.330	8.042	8.854	9.783	10.712
65.5	5.174	5.670	6.165	6.723	7.352	8.067	8.881	9.813	10.745
65.6	5.190	5.687	6.184	6.743	7.374	8.091	8.907	9.842	10.777
65.7	5.206	5.704	6.203	6.763	7.397	8.115	8.934	9.871	10.809
65.8	5.222	5.721	6.221	6.784	7.419	8.139	8.960	9.901	10.841
65.9	5.237	5.739	6.240	6.804	7.441	8.164	8.987	9.930	10.873
66.0	5.253	5.756	6.259	6.824	7.463	8.188	9.013	9.959	10.904
66.1	5.269	5.773	6.277	6.844	7.485	8.212	9.040	9.988	10.936
66.2	5.284	5.790	6.296	6.864	7.507	8.236	9.066	10.017	10.967
66.3	5.300	5.807	6.314	6.885	7.529	8.260	9.092	10.046	10.999
66.4	5.316	5.824	6.333	6.905	7.551	8.283	9.118	10.074	11.031
66.5	5.331	5.841	6.351	6.925	7.572	8.307	9.144	10.103	11.062
66.6	5.347	5.858	6.369	6.945	7.594	8.331	9.171	10.132	11.093
66.7	5.362	5.875	6.388	6.964	7.616	8.355	9.196	10.160	11.124
66.8	5.377	5.892	6.406	6.984	7.638	8.378	9.222	10.189	11.155
66.9	5.393	5.908	6.424	7.004	7.659	8.402	9.248	10.217	11.186
67.0	5.408	5.925	6.442	7.024	7.681	8.425	9.274	10.246	11.217
67.1	5.423	5.942	6.460	7.043	7.702	8.449	9.300	10.274	11.248
67.2	5.439	5.959	6.479	7.063	7.723	8.472	9.325	10.302	11.278
67.3	5.454	5.975	6.497	7.083	7.745	8.496	9.351	10.330	11.309
67.4	5.469	5.992	6.515	7.102	7.766	8.519	9.376	10.358	11.340
67.5	5.485	6.009	6.533	7.122	7.787	8.542	9.402	10.386	11.370
67.6	5.500	6.025	6.550	7.141	7.809	8.565	9.427	10.414	11.401
67.7	5.515	6.042	6.568	7.161	7.830	8.588	9.453	10.442	11.431
67.8	5.530	6.058	6.586	7.180	7.851	8.611	9.478	10.470	11.462
67.9	5.545	6.075	6.604	7.200	7.872	8.635	9.503	10.498	11.492
68.0	5.560	6.091	6.622	7.219	7.893	8.657	9.528	10.525	11.522
68.1	5.575	6.107	6.640	7.238	7.914	8.680	9.553	10.553	11.552
68.2	5.590	6.124	6.657	7.257	7.935	8.703	9.578	10.580	11.582
68.3	5.605	6.140	6.675	7.277	7.956	8.726	9.603	10.608	11.612
68.4	5.620	6.156	6.693	7.296	7.977	8.749	9.628	10.635	11.642
68.5	5.635	6.173	6.710	7.315	7.998	8.772	9.653	10.663	11.672
68.6	5.650	6.189	6.728	7.334	8.018	8.794	9.678	10.690	11.702
68.7	5.665	6.205	6.745	7.353	8.039	8.817	9.703	10.717	11.731
68.8	5.680	6.221	6.763	7.372	8.060	8.840	9.728	10.745	11.761
68.9	5.695	6.238	6.781	7.391	8.081	8.862	9.753	10.771	11.790
69.0	5.709	6.254	6.798	7.410	8.101	8.885	9.777	10.798	11.820
69.1	5.724	6.270	6.815	7.429	8.122	8.907	9.802	10.826	11.849
69.2	5.739	6.286	6.833	7.448	8.142	8.930	9.826	10.853	11.879
69.3	5.753	6.302	6.850	7.467	8.163	8.952	9.851	10.880	11.908
69.4	5.768	6.318	6.868	7.486	8.184	8.975	9.876	10.907	11.938
69.5	5.783	6.334	6.885	7.504	8.204	8.997	9.900	10.933	11.967
69.6	5.798	6.350	6.902	7.523	8.224	9.019	9.924	10.960	11.996
69.7	5.812	6.366	6.919	7.542	8.245	9.041	9.949	10.987	12.025
69.8	5.827	6.382	6.937	7.561	8.265	9.064	9.973	11.014	12.054
69.9	5.841	6.398	6.954	7.579	8.286	9.086	9.997	11.040	12.083
70.0	5.856	6.414	6.971	7.598	8.306	9.108	10.021	11.067	12.112
70.1	5.871	6.429	6.988	7.617	8.326	9.130	10.046	11.093	12.141
70.2	5.885	6.445	7.006	7.635	8.346	9.152	10.070	11.120	12.170
70.3	5.900	6.461	7.023	7.654	8.367	9.174	10.094	11.147	12.199
70.4	5.914	6.477	7.040	7.673	8.387	9.197	10.118	11.173	12.228
70.5	5.929	6.493	7.057	7.691	8.407	9.219	10.142	11.199	12.257
70.6	5.943	6.509	7.074	7.710	8.427	9.241	10.167	11.226	12.285
70.7	5.958	6.524	7.091	7.728	8.447	9.263	10.191	11.252	12.314
70.8	5.972	6.540	7.108	7.747	8.468	9.285	10.215	11.279	12.343
70.9	5.987	6.556	7.125	7.765	8.488	9.306	10.239	11.305	12.371
71.0	6.001	6.572	7.142	7.784	8.508	9.328	10.263	11.331	12.400
71.1	6.016	6.587	7.159	7.802	8.528	9.350	10.286	11.358	12.429
71.2	6.030	6.603	7.176	7.821	8.548	9.372	10.311	11.384	12.457
71.3	6.044	6.619	7.193	7.839	8.568	9.394	10.334	11.410	12.486
71.4	6.059	6.635	7.210	7.857	8.588	9.416	10.358	11.436	12.514
71.5	6.073	6.650	7.227	7.876	8.608	9.437	10.382	11.462	12.543
71.6	6.087	6.666	7.244	7.894	8.628	9.459	10.406	11.488	12.571
71.7	6.102	6.681	7.261	7.912	8.648	9.481	10.429	11.514	12.600
71.8	6.116	6.697	7.278	7.931	8.667	9.502	10.453	11.540	12.627
71.9	6.130	6.712	7.294	7.949	8.687	9.524	10.477	11.566	12.656
72.0	6.144	6.728	7.311	7.967	8.707	9.546	10.500	11.592	12.684
72.1	6.159	6.743	7.328	7.985	8.727	9.567	10.524	11.618	12.712
72.2	6.173	6.759	7.345	8.003	8.746	9.588	10.547	11.643	12.740
72.3	6.187	6.774	7.361	8.021	8.766	9.610	10.571	11.669	12.768
72.4	6.201	6.790	7.378	8.039	8.786	9.631	10.594	11.695	12.796
72.5	6.215	6.805	7.395	8.057	8.805	9.653	10.617	11.720	12.823
72.6	6.229	6.820	7.411	8.075	8.825	9.674	10.640	11.746	12.851
72.7	6.243	6.836	7.428	8.093	8.844	9.695	10.664	11.771	12.879
72.8	6.257	6.851	7.444	8.111	8.864	9.716	10.687	11.797	12.907
72.9	6.272	6.866	7.461	8.129	8.883	9.737	10.710	11.822	12.934
73.0	6.285	6.881	7.477	8.147	8.902	9.759	10.733	11.847	12.961
73.1	6.299	6.896	7.493	8.165	8.922	9.780	10.756	11.872	12.989
73.2	6.313	6.911	7.510	8.182	8.941	9.801	10.779	11.898	13.016
73.3	6.327	6.927	7.526	8.200	8.960	9.821	10.801	11.922	13.043
73.4	6.341	6.942	7.542	8.217	8.979	9.842	10.824	11.947	13.070
73.5	6.354	6.957	7.559	8.235	8.998	9.863	10.847	11.972	13.097
73.6	6.368	6.972	7.575	8.253	9.017	9.884	10.869	11.997	13.124
73.7	6.382	6.986	7.591	8.270	9.036	9.904	10.892	12.022	13.151
73.8	6.396	7.001	7.607	8.287	9.055	9.925	10.915	12.046	13.178
73.9	6.409	7.016	7.623	8.305	9.074	9.945	10.937	12.071	13.205
74.0	6.423	7.031	7.639	8.322	9.093	9.966	10.959	12.095	13.231
74.1	6.436	7.046	7.655	8.339	9.112	9.986	10.982	12.120	13.258
74.2	6.450	7.060	7.671	8.357	9.130	10.007	11.004	12.144	13.284
74.3	6.464	7.075	7.687	8.374	9.149	10.027	11.026	12.168	13.310
74.4	6.477	7.090	7.702	8.391	9.168	10.047	11.048	12.193	13.337
74.5	6.490	7.104	7.718	8.408	9.186	10.068	11.070	12.217	13.363
74.6	6.504	7.119	7.734	8.425	9.205	10.088	11.092	12.241	13.389
74.7	6.517	7.134	7.750	8.442	9.223	10.108	11.114	12.265	13.416
74.8	6.531	7.148	7.766	8.459	9.242	10.128	11.136	12.289	13.442
74.9	6.544	7.163	7.781	8.476	9.260	10.148	11.158	12.313	13.467
75.0	6.557	7.177	7.797	8.493	9.279	10.168	11.180	12.337	13.494
75.1	6.571	7.192	7.812	8.510	9.297	10.188	11.202	12.361	13.520
75.2	6.584	7.206	7.828	8.527	9.315	10.208	11.224	12.385	13.545
75.3	6.597	7.221	7.844	8.544	9.334	10.228	11.246	12.408	13.571
75.4	6.610	7.235	7.859	8.561	9.352	10.248	11.267	12.432	13.597
75.5	6.624	7.249	7.875	8.578	9.370	10.268	11.289	12.456	13.623
75.6	6.637	7.264	7.890	8.595	9.389	10.288	11.311	12.480	13.649
75.7	6.650	7.278	7.906	8.611	9.407	10.308	11.333	12.504	13.675
75.8	6.664	7.293	7.922	8.628	9.425	10.328	11.354	12.527	13.700
75.9	6.677	7.307	7.937	8.645	9.444	10.348	11.376	12.551	13.726
76.0	6.690	7.321	7.953	8.662	9.462	10.367	11.398	12.575	13.752
76.1	6.703	7.336	7.968	8.679	9.480	10.387	11.419	12.598	13.778
76.2	6.717	7.350	7.984	8.696	9.498	10.407	11.441	12.622	13.804
76.3	6.730	7.365	7.999	8.712	9.517	10.427	11.463	12.646	13.830
76.4	6.743	7.379	8.015	8.730	9.535	10.447	11.484	12.670	13.855
76.5	6.756	7.394	8.031	8.746	9.553	10.467	11.506	12.694	13.881
76.6	6.770	7.408	8.046	8.763	9.572	10.487	11.528	12.718	13.907
76.7	6.783	7.423	8.062	8.780	9.590	10.507	11.550	12.741	13.933
76.8	6.797	7.437	8.078	8.797	9.609	10.527	11.572	12.765	13.959
76.9	6.810	7.452	8.094	8.814	9.627	10.547	11.594	12.790	13.985
77.0	6.824	7.466	8.109	8.831	9.646	10.567	11.616	12.813	14.011
77.1	6.837	7.481	8.125	8.849	9.664	10.588	11.638	12.838	14.037
77.2	6.851	7.496	8.141	8.866	9.683	10.608	11.660	12.861	14.063
77.3	6.864	7.511	8.157	8.883	9.702	10.628	11.682	12.886	14.090
77.4	6.878	7.525	8.173	8.900	9.720	10.649	11.704	12.910	14.116
77.5	6.891	7.540	8.189	8.917	9.739	10.669	11.727	12.935	14.143
77.6	6.905	7.555	8.205	8.935	9.758	10.689	11.749	12.959	14.169
77.7	6.919	7.570	8.221	8.952	9.777	10.710	11.771	12.984	14.196
77.8	6.932	7.585	8.237	8.970	9.796	10.731	11.794	13.008	14.223
77.9	6.946	7.600	8.253	8.987	9.815	10.751	11.816	13.033	14.249
78.0	6.960	7.615	8.270	9.005	9.834	10.772	11.839	13.058	14.276
78.1	6.974	7.630	8.286	9.023	9.853	10.793	11.862	13.083	14.304
78.2	6.988	7.645	8.302	9.040	9.872	10.814	11.884	13.107	14.330
