Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
45.0	1.710	1.877	2.043	2.230	2.441	2.680	2.951	3.261	3.571
45.1	1.722	1.890	2.057	2.245	2.458	2.698	2.971	3.283	3.595
45.2	1.734	1.903	2.072	2.261	2.474	2.716	2.991	3.305	3.618
45.3	1.747	1.916	2.086	2.276	2.491	2.734	3.011	3.326	3.642
45.4	1.759	1.929	2.100	2.292	2.508	2.752	3.031	3.348	3.666
45.5	1.771	1.942	2.114	2.307	2.524	2.771	3.050	3.370	3.689
45.6	1.783	1.956	2.128	2.322	2.541	2.789	3.070	3.391	3.712
45.7	1.795	1.969	2.142	2.338	2.558	2.807	3.090	3.413	3.736
45.8	1.807	1.982	2.157	2.353	2.574	2.825	3.109	3.434	3.759
45.9	1.819	1.995	2.171	2.368	2.591	2.843	3.129	3.456	3.782
46.0	1.831	2.008	2.185	2.384	2.608	2.861	3.149	3.477	3.806
46.1	1.843	2.021	2.199	2.399	2.624	2.879	3.169	3.499	3.829
46.2	1.855	2.034	2.213	2.415	2.641	2.897	3.188	3.521	3.853
46.3	1.867	2.048	2.228	2.430	2.658	2.916	3.208	3.542	3.876
46.4	1.880	2.061	2.242	2.445	2.674	2.934	3.228	3.564	3.899
46.5	1.892	2.074	2.256	2.461	2.691	2.952	3.248	3.585	3.923
46.6	1.904	2.087	2.271	2.476	2.708	2.970	3.268	3.607	3.946
46.7	1.916	2.101	2.285	2.492	2.725	2.988	3.288	3.629	3.970
46.8	1.929	2.114	2.299	2.507	2.742	3.007	3.307	3.650	3.993
46.9	1.941	2.127	2.314	2.523	2.759	3.025	3.327	3.672	4.017
47.0	1.953	2.141	2.328	2.539	2.776	3.043	3.347	3.694	4.041
47.1	1.966	2.154	2.343	2.554	2.792	3.062	3.367	3.716	4.064
47.2	1.978	2.168	2.357	2.570	2.810	3.080	3.388	3.738	4.088
47.3	1.991	2.181	2.372	2.586	2.827	3.099	3.408	3.760	4.112
47.4	2.003	2.195	2.386	2.602	2.844	3.117	3.428	3.782	4.136
47.5	2.015	2.208	2.401	2.617	2.861	3.136	3.448	3.804	4.160
47.6	2.028	2.222	2.416	2.633	2.878	3.155	3.469	3.826	4.184
47.7	2.041	2.236	2.431	2.649	2.896	3.174	3.489	3.848	4.208
47.8	2.054	2.250	2.446	2.665	2.913	3.192	3.510	3.871	4.232
47.9	2.066	2.263	2.461	2.682	2.930	3.211	3.530	3.893	4.256
48.0	2.079	2.277	2.476	2.698	2.948	3.231	3.551	3.916	4.281
48.1	2.092	2.291	2.491	2.714	2.966	3.250	3.572	3.939	4.306
48.2	2.105	2.306	2.506	2.731	2.984	3.269	3.593	3.962	4.330
48.3	2.118	2.320	2.521	2.747	3.001	3.288	3.614	3.985	4.355
48.4	2.131	2.334	2.537	2.764	3.020	3.308	3.635	4.008	4.380
48.5	2.145	2.349	2.552	2.781	3.038	3.328	3.657	4.031	4.406
48.6	2.158	2.363	2.568	2.798	3.056	3.348	3.678	4.055	4.431
48.7	2.172	2.378	2.584	2.815	3.074	3.368	3.700	4.078	4.457
48.8	2.185	2.393	2.600	2.832	3.093	3.388	3.722	4.102	4.483
48.9	2.199	2.407	2.616	2.849	3.112	3.408	3.744	4.126	4.509
49.0	2.213	2.422	2.632	2.867	3.131	3.429	3.766	4.151	4.535
49.1	2.227	2.438	2.648	2.884	3.150	3.450	3.789	4.175	4.562
49.2	2.241	2.453	2.665	2.902	3.169	3.470	3.812	4.200	4.588
49.3	2.255	2.468	2.681	2.920	3.188	3.491	3.834	4.225	4.615
49.4	2.269	2.484	2.698	2.938	3.208	3.512	3.857	4.250	4.642
49.5	2.284	2.499	2.715	2.956	3.228	3.534	3.881	4.275	4.669
49.6	2.298	2.515	2.732	2.974	3.247	3.555	3.904	4.300	4.697
49.7	2.313	2.531	2.749	2.993	3.267	3.577	3.927	4.326	4.724
49.8	2.328	2.547	2.766	3.011	3.287	3.598	3.951	4.352	4.752
49.9	2.342	2.563	2.783	3.030	3.308	3.620	3.975	4.377	4.780
50.0	2.357	2.579	2.801	3.049	3.328	3.642	3.999	4.403	4.808
50.1	2.372	2.595	2.818	3.068	3.348	3.664	4.023	4.430	4.837
50.2	2.387	2.612	2.836	3.087	3.369	3.687	4.047	4.456	4.865
50.3	2.403	2.628	2.853	3.106	3.389	3.709	4.071	4.482	4.894
50.4	2.418	2.645	2.871	3.125	3.410	3.732	4.096	4.509	4.922
50.5	2.433	2.661	2.889	3.144	3.431	3.754	4.120	4.536	4.951
50.6	2.449	2.678	2.907	3.164	3.452	3.777	4.145	4.563	4.981
50.7	2.464	2.695	2.925	3.183	3.473	3.800	4.170	4.590	5.010
50.8	2.480	2.712	2.944	3.203	3.495	3.823	4.195	4.617	5.039
50.9	2.496	2.729	2.962	3.223	3.516	3.846	4.220	4.644	5.069
