Length	SD4neg	SD3neg	SD2neg	SD1neg	SD0	SD1	SD2	SD3	SD4
45.0	1.737	1.902	2.066	2.252	2.461	2.698	2.967	3.275	3.584
45.1	1.749	1.915	2.081	2.267	2.478	2.716	2.988	3.298	3.609
45.2	1.761	1.928	2.095	2.283	2.495	2.735	3.008	3.321	3.633
45.3	1.773	1.941	2.109	2.298	2.512	2.753	3.029	3.343	3.658
45.4	1.785	1.954	2.123	2.314	2.529	2.772	3.049	3.366	3.683
45.5	1.797	1.967	2.138	2.329	2.546	2.791	3.070	3.389	3.708
45.6	1.809	1.980	2.152	2.345	2.563	2.809	3.090	3.412	3.733
45.7	1.821	1.993	2.166	2.360	2.580	2.828	3.111	3.434	3.758
45.8	1.832	2.006	2.180	2.376	2.597	2.847	3.131	3.457	3.783
45.9	1.844	2.020	2.195	2.392	2.614	2.865	3.152	3.480	3.808
46.0	1.856	2.033	2.209	2.407	2.631	2.884	3.172	3.502	3.832
46.1	1.868	2.046	2.223	2.423	2.648	2.903	3.193	3.525	3.857
46.2	1.880	2.059	2.237	2.438	2.665	2.921	3.214	3.548	3.882
46.3	1.892	2.072	2.252	2.454	2.682	2.940	3.234	3.571	3.907
46.4	1.904	2.085	2.266	2.469	2.699	2.959	3.255	3.593	3.932
46.5	1.916	2.098	2.280	2.485	2.716	2.977	3.275	3.616	3.957
46.6	1.928	2.111	2.294	2.500	2.733	2.996	3.296	3.639	3.982
46.7	1.940	2.124	2.309	2.516	2.750	3.015	3.316	3.662	4.007
46.8	1.952	2.137	2.323	2.531	2.767	3.033	3.337	3.684	4.032
46.9	1.964	2.150	2.337	2.547	2.784	3.052	3.358	3.707	4.057
47.0	1.976	2.164	2.351	2.562	2.801	3.071	3.378	3.730	4.081
47.1	1.988	2.177	2.366	2.578	2.818	3.090	3.399	3.753	4.107
47.2	2.000	2.190	2.380	2.594	2.835	3.108	3.420	3.776	4.132
47.3	2.012	2.203	2.394	2.609	2.852	3.127	3.440	3.799	4.157
47.4	2.024	2.216	2.409	2.625	2.869	3.146	3.461	3.822	4.182
47.5	2.036	2.230	2.423	2.641	2.887	3.165	3.482	3.845	4.208
47.6	2.048	2.243	2.438	2.657	2.904	3.184	3.503	3.868	4.233
47.7	2.061	2.256	2.452	2.673	2.922	3.203	3.524	3.891	4.259
