resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-001,Diagnosis,Coded,Vomiting,Vomiting (general symptom),Symptoms,"SymptomsGISign.Vomiting; WellChildSymptom.SymptomVomiting; DangerSignVomiting; HIVSymptom.HIVSymptomVomiting",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-002,Finding,N/A,Myalgia,Body aches / muscle pain,Symptoms,"SymptomsGeneralSign.BodyAches; HIVSymptom.HIVSymptomMuscleJointPain",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-003,Finding,Coded,Chills,Chills,Symptoms,SymptomsGeneralSign.Chills,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-004,Diagnosis,Boolean,Night sweats,Night sweats,Symptoms,"SymptomsGeneralSign.NightSweats; TuberculosisSymptom.TuberculosisSymptomNightSweats; HIVSymptom.HIVSymptomNightSweats",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-005,Diagnosis,N/A,Headache,Headache,Symptoms,"SymptomsGeneralSign.Headache; HIVSymptom.HIVSymptomHeadache",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-006,Finding,Coded,Unable to drink or breastfeed,Unable to drink,Symptoms,"SymptomsGeneralSign.UnableToDrink; DangerSignUnableDrinkSuck",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-007,Symptom,N/A,Refuses to eat,Unable to eat / refusing to eat,Symptoms,SymptomsGeneralSign.UnableToEat,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-008,Diagnosis,N/A,Excessive thirst,Increased thirst (polydipsia),Symptoms,"SymptomsGeneralSign.IncreasedThirst; NCDGroup2Symptom.NCDIncreasedThirst",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-009,Finding,Coded,Icteric sclera,Yellow eyes / scleral icterus,Symptoms,SymptomsGeneralSign.YellowEyes,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-010,Diagnosis,Coded,Bleeding,Spontaneous bleeding,Symptoms,SymptomsGeneralSign.SpontaneousBleeding,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-011,Diagnosis,N/A,Hemoptysis,Blood in sputum / coughing up blood,Symptoms,"SymptomsRespiratorySign.BloodInSputum; TuberculosisSymptom.TuberculosisSymptomBloodInSputum; HIVSymptom.HIVSymptomCoughingUpBlood",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-012,Diagnosis,N/A,Cough,Cough (general symptom),Symptoms,SymptomsRespiratorySign.Cough,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-013,Symptom,N/A,Nasal discharge,Nasal congestion / runny nose,Symptoms,SymptomsRespiratorySign.NasalCongestion,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-014,Diagnosis,N/A,Dyspnea,Shortness of breath,Symptoms,"SymptomsRespiratorySign.ShortnessOfBreath; NCDDangerSign.Dyspnea",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-015,Diagnosis,N/A,Sore throat,Sore throat,Symptoms,"SymptomsRespiratorySign.SoreThroat; HIVSymptom.HIVSymptomSoreThroat",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-016,Diagnosis,N/A,Loss of sense of smell,Anosmia,Symptoms,SymptomsRespiratorySign.LossOfSmell,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-017,Diagnosis,N/A,Chest pain,Chest pain,Symptoms,"SymptomsRespiratorySign.StabbingChestPain; NCDDangerSign.ChestPain",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-018,Diagnosis,N/A,Bloody diarrhea,Bloody diarrhea / dysentery,Symptoms,"SymptomsGISign.BloodyDiarrhea; DangerSignBloodyDiarrhea",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-019,Symptom,N/A,Nausea,Nausea,Symptoms,SymptomsGISign.Nausea,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-020,Finding,Coded,Sunken eyes,Sunken eyes (dehydration),Findings,AcuteFindingsGeneralSign.SunkenEyes,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-021,Finding,N/A,Slow skin turgor,Poor skin turgor (dehydration),Findings,AcuteFindingsGeneralSign.PoorSkinTurgor,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-022,Diagnosis,N/A,Jaundice,Jaundice,Findings,AcuteFindingsGeneralSign.Jaundice,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-023,Diagnosis,N/A,Laryngeal stridor,Stridor,Findings,AcuteFindingsRespiratorySign.Stridor,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-AI-024,Diagnosis,N/A,Intercostal recession,Chest retractions (subcostal),Findings,AcuteFindingsRespiratorySign.SubCostalRetractions,medium
