resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-001/,SAME-AS,/orgs/PIH/sources/PIH/,5980,Vomiting,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-002/,SAME-AS,/orgs/PIH/sources/PIH/,121,Myalgia,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-003/,SAME-AS,/orgs/PIH/sources/PIH/,21078,Chills,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-004/,SAME-AS,/orgs/PIH/sources/PIH/,6029,Night sweats,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-005/,SAME-AS,/orgs/PIH/sources/PIH/,620,Headache,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-006/,SAME-AS,/orgs/PIH/sources/PIH/,20255,Unable to drink or breastfeed,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-007/,SAME-AS,/orgs/PIH/sources/PIH/,10700,Refuses to eat,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-008/,SAME-AS,/orgs/PIH/sources/PIH/,11927,Excessive thirst,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-009/,SAME-AS,/orgs/PIH/sources/PIH/,5192,Icteric sclera,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-010/,SAME-AS,/orgs/PIH/sources/PIH/,7102,Bleeding,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-011/,SAME-AS,/orgs/PIH/sources/PIH/,970,Hemoptysis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-012/,SAME-AS,/orgs/PIH/sources/PIH/,107,Cough,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-013/,SAME-AS,/orgs/PIH/sources/PIH/,6016,Nasal discharge,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-014/,SAME-AS,/orgs/PIH/sources/PIH/,5960,Dyspnea,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-015/,SAME-AS,/orgs/PIH/sources/PIH/,12883,Sore throat,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-016/,SAME-AS,/orgs/PIH/sources/PIH/,12832,Loss of sense of smell,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-017/,SAME-AS,/orgs/PIH/sources/PIH/,136,Chest Pain,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-018/,SAME-AS,/orgs/PIH/sources/PIH/,2135,Bloody diarrhea,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-019/,SAME-AS,/orgs/PIH/sources/PIH/,5978,Nausea,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-020/,SAME-AS,/orgs/PIH/sources/PIH/,14698,Sunken eyes,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-021/,SAME-AS,/orgs/PIH/sources/PIH/,14699,Slow skin turgor,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-022/,SAME-AS,/orgs/PIH/sources/PIH/,215,Jaundice,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-023/,SAME-AS,/orgs/PIH/sources/PIH/,10702,Laryngeal stridor,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-024/,SAME-AS,/orgs/PIH/sources/PIH/,12233,Intercostal recession,medium
