resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-001/,SAME-AS,/orgs/CIEL/sources/CIEL/,122983,Vomiting,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-002/,SAME-AS,/orgs/CIEL/sources/CIEL/,121,Myalgia,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-003/,SAME-AS,/orgs/CIEL/sources/CIEL/,871,Chills,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-004/,SAME-AS,/orgs/CIEL/sources/CIEL/,133027,Night sweats,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-005/,SAME-AS,/orgs/CIEL/sources/CIEL/,139084,Headache,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-006/,SAME-AS,/orgs/CIEL/sources/CIEL/,159861,Unable to drink or breastfeed,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-007/,SAME-AS,/orgs/CIEL/sources/CIEL/,163484,Refuses to eat,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-008/,SAME-AS,/orgs/CIEL/sources/CIEL/,140939,Excessive thirst,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-009/,SAME-AS,/orgs/CIEL/sources/CIEL/,5192,Icteric sclera,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-010/,SAME-AS,/orgs/CIEL/sources/CIEL/,147241,Bleeding,medium
