id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0001,Participant,,,,fallback,,AcuteIllnessEncounter.participant,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Text
EHEZA-0002,Sequence Number,,,,fallback,,AcuteIllnessEncounter.sequenceNumber,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Numeric
EHEZA-0003,Encounter Type,,,,fallback,,AcuteIllnessEncounter.encounterType,client/src/elm/Backend/AcuteIllnessEncounter/Model.elm,record_field,Coded
EHEZA-0004,Clinic,,,,fallback,,Clinic,client/src/elm/Backend/Clinic/Model.elm,record_type,N/A
EHEZA-0005,Timing,,,,fallback,,CounselingSchedule.timing,client/src/elm/Backend/Counseling/Model.elm,record_field,Coded
EHEZA-0006,Education Session,,,,fallback,,EducationSession,client/src/elm/Backend/EducationSession/Model.elm,record_type,N/A
EHEZA-0007,Nurse,,,,fallback,,EducationSession.nurse,client/src/elm/Backend/EducationSession/Model.elm,record_field,Text
EHEZA-0008,Education Topic,,,,fallback,,EducationTopic,client/src/elm/Backend/EducationSession/Model.elm,union_type,Coded
EHEZA-0009,Catchment Area,,,,fallback,,CatchmentArea,client/src/elm/Backend/HealthCenter/Model.elm,record_type,N/A
EHEZA-0010,Edd Date,,,,fallback,,IndividualEncounterParticipant.eddDate,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Date
EHEZA-0011,Date Concluded,,,,fallback,,IndividualEncounterParticipant.dateConcluded,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Date
EHEZA-0012,Outcome,,,,fallback,,IndividualEncounterParticipant.outcome,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Coded
EHEZA-0013,Newborn,,,,fallback,,IndividualEncounterParticipant.newborn,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Text
EHEZA-0014,Facility Delivery,,,,fallback,,DeliveryLocation.FacilityDelivery,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0015,Home Delivery,,,,fallback,,DeliveryLocation.HomeDelivery,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0016,Measurement,,,,fallback,,Measurement,client/src/elm/Backend/Measurement/Model.elm,record_type,N/A
EHEZA-0017,Date Measured,,,,fallback,,Measurement.dateMeasured,client/src/elm/Backend/Measurement/Model.elm,record_field,Date
EHEZA-0018,Muac In Cm,,,,fallback,,MuacInCm,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0019,Height In Cm,,,,fallback,,HeightInCm,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0020,Weight In Kg,,,,fallback,,WeightInKg,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0021,Weight In Grm,,,,fallback,,WeightInGrm,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0022,Family Planning Sign,,,,fallback,,FamilyPlanningSign,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0023,Lactation Sign,,,,fallback,,LactationSign,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0024,Language,,,,fallback,,ParticipantConsentValue.language,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0025,Child Nutrition Sign,,,,fallback,,ChildNutritionSign,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0026,Assesment,,,,fallback,,NutritionValue.assesment,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0027,Group Health Education,,,,fallback,,GroupHealthEducation,client/src/elm/Backend/Measurement/Model.elm,record_type,N/A
EHEZA-0028,Resolution Date,,,,fallback,,NutritionFollowUpValue.resolutionDate,client/src/elm/Backend/Measurement/Model.elm,record_field,Date
EHEZA-0029,Birth Weight,,,,fallback,,NCDAValue.birthWeight,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0030,Receives Vitamin A,,,,fallback,,NCDAValue.receivesVitaminA,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0031,Stunting Level,,,,fallback,,NCDAValue.stuntingLevel,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0032,Appropriate Complementary Feeding,,,,fallback,,NCDASign.AppropriateComplementaryFeeding,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0033,Supplement Type,,,,fallback,,NutritionFeedingValue.supplementType,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0034,Sachets Per Day,,,,fallback,,NutritionFeedingValue.sachetsPerDay,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0035,Main Water Source,,,,fallback,,NutritionHygieneValue.mainWaterSource,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0036,Main Income Source,,,,fallback,,NutritionFoodSecurityValue.mainIncomeSource,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0037,House helper,Umukozi wo mu rugo,Umufasha wo m'urugo,Booyaaso,translation,CaredByHouseHelper,CaringOption.CaredByHouseHelper,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0038,Discharge Type,,,,fallback,,BreastExamValue.dischargeType,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0039,Hair Head,,,,fallback,,CorePhysicalExamValue.hairHead,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0040,Brittle Hair CPE,,,,fallback,,HairHeadCPESign.BrittleHairCPE,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0041,Normal Hair Head,,,,fallback,,HairHeadCPESign.NormalHairHead,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0042,Normal Eyes,,,,fallback,,EyesCPESign.NormalEyes,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0043,Postpartum Mother Danger Sign,,,,fallback,,PostpartumMotherDangerSign,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0044,Postpartum Child Danger Sign,,,,fallback,,PostpartumChildDangerSign,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0045,Irregular Menses,,Ukuja mu kwezi bihindagurika,Caado aan waqti lahayn,translation,ReasonIrregularMenses,LmpDateNotConfidentReason.ReasonIrregularMenses,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0046,Autoimmune Disease,,,,fallback,,MedicalHistorySign.AutoimmuneDisease,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0047,Preeclampsia In Family,,,,fallback,,MedicalHistoryValue.preeclampsiaInFamily,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0048,Iron And Folic Acid Supplement,,,,fallback,,MedicationSign.IronAndFolicAcidSupplement,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0049,Deworming Pill,,,,fallback,,MedicationSign.DewormingPill,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0050,Fundal Palpable,,,,fallback,,ObstetricalExamValue.fundalPalpable,client/src/elm/Backend/Measurement/Model.elm,record_field,Boolean
EHEZA-0051,C Section Scar,,,,fallback,,ObstetricalExamValue.cSectionScar,client/src/elm/Backend/Measurement/Model.elm,record_field,Coded
EHEZA-0052,Unknown,,,,fallback,,FetalPresentation.Unknown,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0053,Term Pregnancy,,,,fallback,,ObstetricHistoryValue.termPregnancy,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0054,Pre Term Pregnancy,,,,fallback,,ObstetricHistoryValue.preTermPregnancy,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0055,Stillbirths At Term,,,,fallback,,ObstetricHistoryValue.stillbirthsAtTerm,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0056,Stillbirths Pre Term,,,,fallback,,ObstetricHistoryValue.stillbirthsPreTerm,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0057,C Sections,,,,fallback,,ObstetricHistoryStep2Value.cSections,client/src/elm/Backend/Measurement/Model.elm,record_field,Numeric
EHEZA-0058,Reason for C-section,Impamvu yo kubagwa,Impamvu yo gukorwa,Sababta Qalliinka Dhalmada,translation,CSectionReason,CSectionReason,client/src/elm/Backend/Measurement/Model.elm,union_type,Coded
EHEZA-0059,C Section In Previous Delivery,,,,fallback,,PreviousDeliverySign.CSectionInPreviousDelivery,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
EHEZA-0060,Stillborn Previous Delivery,,,,fallback,,PreviousDeliverySign.StillbornPreviousDelivery,client/src/elm/Backend/Measurement/Model.elm,union_constructor,N/A
