id,translation_id,english,kinyarwanda,kirundi,somali
EHEZA-U-0001,Abdomen,Abdomen,Inda,Inda,Caloosha
EH-PRE-043,AbdomenCPESign.Hepatomegaly,Hepatomegaly,Kubyimba umwijima,Ivyimba ry'igitigu,
EH-PRE-044,AbdomenCPESign.Splenomegaly,Splenomegaly,Kubyimba urwangashya,Ingwara y'indugwe,Xameeti Barar
EHEZA-U-0002,AbdomenCPESign.TPRightUpper,Tender to Palpation right upper,Igice cyo hejuru iburyo kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kuryo amasubiza hejuru,
EHEZA-U-0003,AbdomenCPESign.TPRightLower,Tender to Palpation right lower,Igice cyo hasi iburyo kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kuryo amasubiza hasi,
EHEZA-U-0004,AbdomenCPESign.TPLeftUpper,Tender to Palpation left upper,Igice cyo hejuru ibumoso kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kubamfu amasubiza hejuru,
EHEZA-U-0005,AbdomenCPESign.TPLeftLower,Tender to Palpation left lower,Igice cyo hasi ibumoso kirababara  iyo ugikanze,Bitera bija mu kudidagizwa mu kubamfu amasubiza hasi,
EHEZA-U-0006,AbdomenCPESign.Hernia,Hernia,Urugingo ruyobera cg rwinjira mu rundi,Isoho ry'agace k'umubiri w'indani hama kakavyimbira hanze,
EH-PRE-024,AbdominalPainLabel,Abdominal Pain,Kubabara mu nda,Ukubabara mu nda,Calool Xanuun
EHEZA-U-0007,Abnormal,Abnormal,,Bidasanzwe,Aan caadi ahayn
EHEZA-U-0008,Abortions,Abortions,Inda yavuyemo,Ugukoroka kw'imbanyi,Dhicis
EHEZA-U-0009,Accept,Accept,,Emeza,Aqbal
EHEZA-U-0010,Actions,Actions,Ibikorwa,Ibikorwa,Tallaabooyin
EHEZA-U-0011,ActionsTaken,Actions Taken,Ibyakozwe,Ibikorwa vyakozwe,Tallaabooyinka way fuleen
EHEZA-U-0012,ActionsToTake,Actions To Take,Ibigomba gukorwa,Ibitegekanijwe gukorwa,Talaabooyinka la qaadayo
EHEZA-U-0013,AcuteFindingsGeneralSign.LethargicOrUnconscious,Lethargic Or Unconscious,Yahwereye cyangwa yataye ubwenge,Itiro rirenze canke ukuraba canke uguta ubwenge,Tabaalac ama Miyirdaboolan
EHEZA-U-0014,AcuteFindingsGeneralSign.AcuteFindingsPoorSuck,Poor Suck,Yonka nta mbaraga,Ugukwega kutakwiye,Nuugida ku Yar
EH-AI-020,AcuteFindingsGeneralSign.SunkenEyes,Sunken Eyes,Amaso yahenengeye,Amaso yacokeye,Indhaha oo God ku jira
EHEZA-U-0015,AcuteFindingsGeneralSign.PoorSkinTurgor,Poor Skin Turgor,Uruhu rwumye,Uruhu rukene,Maqaar Dilan
EH-AI-022,AcuteFindingsGeneralSign.Jaundice,Jaundice,Umuhondo/umubiri wahindutse umuhondo,Ingwara y'umuhondo,Cagaarshow
EHEZA-U-0016,AcuteFindingsRespiratorySign.Stridor,Stridor,Guhumeka ajwigira,Uguhema ujwigira mu gihe uri maso,Dhuun qabad
EHEZA-U-0017,AcuteFindingsRespiratorySign.NasalFlaring,Nasal Flaring,Amazuru abyina igihe ahumeka,Ukwaguka kw'amazuru mu gihe uriko urahema,San Qaroor
EHEZA-U-0018,AcuteFindingsRespiratorySign.SevereWheezing,Severe Wheezing,Guhumeka nabi cyane ajwigira,Uguhema nabi bikaze,Shanqar aad u daran
EHEZA-U-0019,AcuteFindingsRespiratorySign.SubCostalRetractions,Sub-Costal Retractions,Icyena mu mbavu,Ugukuraho ibiri munsi y'imbavu,Dub uga soo noqonaya muruqa hoose
EHEZA-U-0020,AcuteIllness,Acute Illness,Uburwayi butunguranye,Ingwara ikaze,Xanuun soo Bood ah
EHEZA-U-0021,AcuteIllnessDangerSign.DangerSignConditionNotImproving,Condition not improving,Yanyoye imiti ariko ntiyoroherwa,"Ingene bimeze, nta terambera",Xaaladda masoo hagaagayso
EHEZA-U-0022,AcuteIllnessDangerSign.DangerSignUnableDrinkSuck,Unable to Drink/Suck,Ntashoboye kunywa/konka,Ntibishoboka kunywa/konka,Ma Cabi/Nuugi karo
EHEZA-U-0023,AcuteIllnessDangerSign.DangerSignLethargyUnconsciousness,Lethargy or Unconsciousness,Yahwereye cyangwa ntiyumva,Itiro rirenze canke ukuraba/uguta ubwenge,Tabaalac ama Miyirdabool
EHEZA-U-0024,AcuteIllnessDangerSign.DangerSignRespiratoryDistress,Respiratory Distress,Ahumeka bimugoye,Ingorane yo guhema,Howlgab Neefsashada ah
EH-AI-018,AcuteIllnessDangerSign.DangerSignBloodyDiarrhea,Bloody Diarrhea,Arituma amaraso,Ugucibwamwo/uguhitwa bivanze n'amaraso,Shuban Dhiig
EHEZA-U-0025,AcuteIllnessDangerSign.DangerSignNewSkinRash,New Skin Rash,Yasheshe uduheri dushya,Uduherehere dushasha k'uruhu/urukoba,Nabar Maqaarka Cusub
