resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-001,Drug,N/A,DTG,Dolutegravir (ARV integrase inhibitor),ARV,HIVPrescribedMedication.HIVMedicationDolutegravir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-002,Drug,N/A,3TC,Lamivudine (ARV NRTI),ARV,HIVPrescribedMedication.HIVMedicationLamivudine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-003,Drug,N/A,Tenofovir,Tenofovir (ARV NRTI),ARV,HIVPrescribedMedication.HIVMedicationTenofovir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-004,Drug,N/A,TDF + 3TC + DTG,"Tenofovir + Lamivudine + Dolutegravir (TLD, first-line ART)",ARV,HIVPrescribedMedication.HIVMedicationDolutegravirLamivudineTenofovir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-005,Drug,N/A,ATV/r,Atazanavir + Ritonavir (boosted PI),ARV,HIVPrescribedMedication.HIVMedicationAtazanavirRitonavir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-006,Drug,N/A,ABC + 3TC,Abacavir + Lamivudine FDC,ARV,HIVPrescribedMedication.HIVMedicationAbacavirLamivudine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-007,Drug,N/A,TDF + 3TC,Tenofovir + Lamivudine FDC,ARV,HIVPrescribedMedication.HIVMedicationLamivudineTenofovir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-008,Drug,N/A,AZT,Zidovudine (ARV NRTI),ARV,HIVPrescribedMedication.HIVMedicationZidovudine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-009,Drug,N/A,AZT + 3TC + NVP,"Zidovudine + Lamivudine + Nevirapine (legacy FDC, pediatric)",ARV,HIVPrescribedMedication.HIVMedicationLamivudineZidovudineNevirapine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-010,Drug,N/A,TDF + 3TC + EFV,Tenofovir + Lamivudine + Efavirenz,ARV,HIVPrescribedMedication.HIVMedicationEfavirenzLamivudineTenofovir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-011,Drug,N/A,3TC + AZT,Lamivudine + Zidovudine FDC,ARV,HIVPrescribedMedication.HIVMedicationLamivudineZidovudine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-012,Drug,N/A,LPV/r,Lopinavir + Ritonavir (Kaletra),ARV,HIVPrescribedMedication.HIVMedicationLopinavirRitonavir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-013,Misc,N/A,DVR/r,Darunavir + Ritonavir (boosted PI),ARV,HIVPrescribedMedication.HIVMedicationDarunavirRitonavir,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-014,Drug,N/A,RAL,Raltegravir (ARV integrase inhibitor),ARV,HIVPrescribedMedication.HIVMedicationRaltegravir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-015,Drug,N/A,EFV,Efavirenz (ARV NNRTI),ARV,HIVPrescribedMedication.HIVMedicationEfavirenz,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-016,Drug,N/A,NVP,Nevirapine (ARV NNRTI),ARV,HIVPrescribedMedication.HIVMedicationNevirapine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-017,Drug,N/A,ETV,Etravirine (ARV NNRTI),ARV,HIVPrescribedMedication.HIVMedicationEtravirine,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-018,Drug,N/A,Abacavir,Abacavir (ARV NRTI),ARV,HIVPrescribedMedication.HIVMedicationAbacavir,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-019,Drug,N/A,Cotrimoxazole,"Cotrimoxazole / TMP-SMX / Bactrim (PCP prophylaxis)",Medications,"HIVPrescribedMedication.HIVMedicationBactrim; HIVMedicationTrimethoprimSulfamethoxazole; HIVMedicationCoTrimoxazoleTablets; HIVMedicationCoTrimoxazoleOralSuspension",high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-020,Symptom,N/A,Rash,Skin rash,Symptoms,HIVSymptom.HIVSymptomRash,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-021,Diagnosis,N/A,Severe abdominal pain,Severe abdominal pain,Symptoms,HIVSymptom.HIVSymptomSevereAbdominalPain,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-022,Diagnosis,N/A,Mouth ulceration,Mouth / oral ulcers,Symptoms,HIVSymptom.HIVSymptomMouthUlcers,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-023,Test,Numeric,"HIV viral load, quantitative",HIV viral load (copies/mL),Labs,(HIV viral-load test),high
Concept,TIP-Global-Health,Organization,EHEZA,EH-HIV-024,Test,Numeric,CD4,CD4 count (cells/mm3),Labs,(CD4 test),high
