resource_type,owner,owner_type,source,id,concept_class,datatype,name,description,eheza_category,eheza_field_path,confidence
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-001,Test,Numeric,Creatinine (mg/dL),Serum creatinine,Labs,CreatinineTestValue.creatinineResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-002,Test,Numeric,Blood urea nitrogen (mg/dL),BUN,Labs,CreatinineTestValue.bunResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-003,Test,Numeric,Serum Glutamic-Pyruvic Transaminase,Alanine aminotransferase (ALT / SGPT),Labs,LiverFunctionTestValue.altResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-004,Test,Numeric,Serum Glutamic-Oxaloacetic Transaminase,Aspartate aminotransferase (AST / SGOT),Labs,LiverFunctionTestValue.astResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-005,Test,Numeric,Total cholesterol (mg/dL),Total cholesterol,Labs,LipidPanelTestValue.totalCholesterolResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-006,Test,Numeric,HDL (mg/dL),HDL cholesterol,Labs,LipidPanelTestValue.hdlResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-007,Test,Numeric,LDL (mg/dL),LDL cholesterol,Labs,LipidPanelTestValue.ldlResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-008,Test,Numeric,Triglycerides (mg/dL),Triglycerides,Labs,LipidPanelTestValue.triglyceridesResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-009,Test,Numeric,HbA1c,Glycated hemoglobin (%),Labs,HbA1cTestValue.hba1cResult,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-010,Diagnosis,Coded,HIV infected,HIV infection,Medical condition,MedicalCondition.MedicalConditionHIV,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-011,Diagnosis,N/A,Diabetes,Diabetes mellitus,Medical condition,MedicalCondition.MedicalConditionDiabetes,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-012,Diagnosis,N/A,Chronic kidney disease,Chronic kidney disease,Medical condition,MedicalCondition.MedicalConditionKidneyDisease,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-013,Diagnosis,N/A,Hypertension,Hypertension,Medical condition,MedicalCondition.MedicalConditionHypertension,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-014,Diagnosis,N/A,Gestational diabetes,Gestational diabetes,Medical condition,MedicalCondition.MedicalConditionGestationalDiabetes,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-015,Diagnosis,N/A,Preeclampsia,Pregnancy-related hypertension / preeclampsia,Medical condition,MedicalCondition.MedicalConditionPregnancyRelatedHypertension,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-016,Diagnosis,N/A,Diabetic neuropathy,Diabetic neuropathy,Medical condition,MedicalCondition.MedicalConditionNeuropathy,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-017,Diagnosis,N/A,Renal failure,Renal complications / failure,Medical condition,MedicalCondition.MedicalConditionRentalComplications,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-018,Diagnosis,N/A,Malaria,Malaria diagnosis,Medical condition,MedicalCondition.MedicalConditionMalaria,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-019,Diagnosis,Boolean,Tuberculosis,Tuberculosis diagnosis (co-morbidity),Medical condition,MedicalCondition.MedicalConditionTuberculosis,high
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-020,Diagnosis,N/A,Chronic viral Hepatitis B,Hepatitis B (co-morbidity),Medical condition,MedicalCondition.MedicalConditionHepatitisB,medium
Concept,TIP-Global-Health,Organization,EHEZA,EH-NCD-021,Diagnosis,N/A,Syphilis,Syphilis (co-morbidity),Medical condition,MedicalCondition.MedicalConditionSyphilis,high
