resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-001/,SAME-AS,/orgs/PIH/sources/PIH/,9531,Creatinine (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-002/,SAME-AS,/orgs/PIH/sources/PIH/,12655,Blood urea nitrogen (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-003/,SAME-AS,/orgs/PIH/sources/PIH/,654,Serum Glutamic-Pyruvic Transaminase,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-004/,SAME-AS,/orgs/PIH/sources/PIH/,653,Serum Glutamic-Oxaloacetic Transaminase,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-005/,SAME-AS,/orgs/PIH/sources/PIH/,12991,Total cholesterol (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-006/,SAME-AS,/orgs/PIH/sources/PIH/,12993,HDL (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-007/,SAME-AS,/orgs/PIH/sources/PIH/,12992,LDL (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-008/,SAME-AS,/orgs/PIH/sources/PIH/,12990,Triglycerides (mg/dL),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-009/,SAME-AS,/orgs/PIH/sources/PIH/,7460,HbA1c,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-010/,SAME-AS,/orgs/PIH/sources/PIH/,1169,HIV infected,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-011/,SAME-AS,/orgs/PIH/sources/PIH/,3720,Diabetes,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-012/,SAME-AS,/orgs/PIH/sources/PIH/,3699,Chronic kidney disease,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-013/,SAME-AS,/orgs/PIH/sources/PIH/,903,Hypertension,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-014/,SAME-AS,/orgs/PIH/sources/PIH/,6693,Gestational diabetes,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-015/,SAME-AS,/orgs/PIH/sources/PIH/,47,Preeclampsia,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-016/,SAME-AS,/orgs/PIH/sources/PIH/,21002,Diabetic neuropathy,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-017/,SAME-AS,/orgs/PIH/sources/PIH/,3681,Renal failure,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-018/,SAME-AS,/orgs/PIH/sources/PIH/,123,Malaria,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-019/,SAME-AS,/orgs/PIH/sources/PIH/,58,Tuberculosis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-020/,SAME-AS,/orgs/PIH/sources/PIH/,14885,Chronic viral Hepatitis B,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-021/,SAME-AS,/orgs/PIH/sources/PIH/,223,Syphilis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-022/,SAME-AS,/orgs/PIH/sources/PIH/,14480,Diabetic retinopathy,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-023/,SAME-AS,/orgs/PIH/sources/PIH/,3,Anemia,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-NCD-024/,SAME-AS,/orgs/PIH/sources/PIH/,7486,Vision problem,medium
