resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-001/,SAME-AS,/orgs/PIH/sources/PIH/,5980,Vomiting,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-002/,SAME-AS,/orgs/PIH/sources/PIH/,121,Myalgia,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-003/,SAME-AS,/orgs/PIH/sources/PIH/,21078,Chills,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-004/,SAME-AS,/orgs/PIH/sources/PIH/,6029,Night sweats,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-005/,SAME-AS,/orgs/PIH/sources/PIH/,620,Headache,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-006/,SAME-AS,/orgs/PIH/sources/PIH/,20255,Unable to drink or breastfeed,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-007/,SAME-AS,/orgs/PIH/sources/PIH/,10700,Refuses to eat,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-008/,SAME-AS,/orgs/PIH/sources/PIH/,11927,Excessive thirst,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-009/,SAME-AS,/orgs/PIH/sources/PIH/,5192,Icteric sclera,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-010/,SAME-AS,/orgs/PIH/sources/PIH/,7102,Bleeding,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-011/,SAME-AS,/orgs/PIH/sources/PIH/,970,Hemoptysis,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-AI-012/,SAME-AS,/orgs/PIH/sources/PIH/,107,Cough,high
