resource_type,owner,owner_type,source,from_concept_url,map_type,to_source_url,to_concept_code,to_concept_name,confidence
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-001/,SAME-AS,/orgs/PIH/sources/PIH/,5314,Head circumference (cm),high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-002/,SAME-AS,/orgs/PIH/sources/PIH/,886,BCG vaccine,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-003/,SAME-AS,/orgs/PIH/sources/PIH/,783,Oral polio vaccination,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-004/,SAME-AS,/orgs/PIH/sources/PIH/,781,Diphtheria Tetanus and Pertussis vaccination,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-005/,SAME-AS,/orgs/PIH/sources/PIH/,12549,Pneumococcal conjugate vaccine,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-006/,SAME-AS,/orgs/PIH/sources/PIH/,10172,"Rotavirus vaccine, live",high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-007/,SAME-AS,/orgs/PIH/sources/PIH/,20677,"Polio vaccination, inactivated",high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-008/,SAME-AS,/orgs/PIH/sources/PIH/,10173,Measles-Rubella vaccine,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-009/,SAME-AS,/orgs/PIH/sources/PIH/,14703,Lethargy,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-010/,SAME-AS,/orgs/PIH/sources/PIH/,9432,Omphalitis of the newborn,high
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-011/,SAME-AS,/orgs/PIH/sources/PIH/,5170,Nuchal rigidity,medium
Mapping,TIP-Global-Health,Organization,EHEZA,/orgs/TIP-Global-Health/sources/EHEZA/concepts/EH-WC-012/,SAME-AS,/orgs/PIH/sources/PIH/,7251,Neonatal tetanus,high
