id,field_clinic,field_scheduled_date
3180,2844,2018-06-11|2018-06-13
3409,2844,2018-07-09|2018-07-12
4417,2844,2018-08-14|2018-08-16
4439,2844,2018-10-08|2018-10-17
4440,2844,2018-10-08|2018-10-17
4441,2844,2018-10-08|2018-10-17
4442,2844,2018-10-08|2018-10-17
5028,2844,2018-11-13|2018-11-18
5183,2844,2018-12-10|2018-12-12
5642,2844,2019-01-07|2019-01-09
6506,2844,2019-02-04|2019-02-08
8992,2844,2019-03-04|2019-03-06
10902,2844,2019-04-08|2019-04-11
11108,5947,2019-04-15|2019-04-15
12207,11110,2019-04-16|2019-04-18
12209,11111,2019-04-16|2019-05-27
12210,11112,2019-04-16|2019-04-17
18293,2844,2019-05-07|2019-05-08
19595,11110,2019-05-12|2019-05-13
19882,11110,2019-05-13|2019-05-14
20130,11111,2019-05-14|2019-05-15
20354,11112,2019-05-16|2019-05-19
26608,11110,2019-05-29|2019-05-31
26609,11111,2019-05-29|2019-05-31
26610,11112,2019-05-29|2019-05-31
28397,2844,2019-06-03|2019-06-05
41178,11110,2019-06-10|2019-06-30
45926,2844,2019-07-02|2019-07-03
47143,5947,2019-07-15|2019-07-26
47146,11110,2019-07-14|2019-07-17
49447,11111,2019-07-19|2019-07-31
50982,11112,2019-07-20|2019-07-31
60297,2844,2019-08-01|2019-08-31
60300,11110,2019-08-01|2019-08-31
60301,11111,2019-08-01|2019-08-31
60302,11112,2019-08-01|2019-08-31
62263,2844,2019-08-13
62908,11110,2019-08-16|2019-08-16
63467,11110,2019-08-19|2019-09-25
64643,11111,2019-08-20|2019-09-23
66665,11112,2019-08-21|2019-09-25
71634,2844,2019-08-29
72485,2844,2019-09-10
75143,2844,2019-09-16
75144,11110,2019-09-16|2019-09-25
76786,11110,2019-09-17|2019-09-25
76832,11111,2019-09-17|2019-09-23
76833,5947,2019-09-17
79678,11111,2019-09-23|2019-09-23
81032,11111,2019-09-24|2019-09-25
81033,11112,2019-09-24|2019-09-25
82749,2844,2019-09-24
82750,2844,2019-09-24
83216,11112,2019-09-25|2019-09-25
83221,11111,2019-09-25|2019-09-25
83258,11110,2019-09-25|2019-09-25
84090,11112,2019-09-27|2019-09-27
84099,11110,2019-09-27|2019-09-27
84119,11111,2019-09-27|2019-09-27
85960,11110,2019-09-30|2019-09-30
89063,2844,2019-10-08|2019-10-08
91384,2844,2019-10-15
91385,11110,2019-10-15|2019-10-15
92626,11110,2019-10-18|2019-10-18
93455,11110,2019-10-21
93456,11111,2019-10-21|2019-10-21
97112,11112,2019-10-23|2019-10-23
97121,11110,2019-10-23|2019-10-23
100983,11111,2019-10-30
100984,11112,2019-10-30
102729,2844,2019-11-05
108078,11110,2019-11-18|2019-11-18
108079,11110,2019-11-18
108667,11110,2019-11-19|2019-11-19
108668,11111,2019-11-19
109595,11111,2019-11-20|2019-11-20
109596,11111,2019-11-20
113754,11112,2019-11-21
113755,11111,2019-11-22
113756,11112,2019-11-22|2019-11-22
