id,title,field_catchment_area
ruli,Ruli Health Center,ruli
nyange,Nyange Health Center,ruli
muhondo,Muhondo Health Center,ruli
rukura,Rukura Health Center,ruli
rwankuba,Rwankuba Health Center,ruli
rushashi,Rushashi Health Center,ruli
coko,Coko Health Center,ruli
minazi,Minazi Health Center,ruli
muyungye,Muyungye Health Center,ruli
runoga,Runoga,sorwathe
murwa,Murwa,sorwathe
murambo,Murambo,sorwathe
kimiryi,Kimiryi,sorwathe
stjoseph,St. Joseph,sorwathe
cyohoha,Cyohoha,sorwathe
kigali,Kigali,sorwathe
rukeri,Rukeri,sorwathe
