id,field_clinic,field_scheduled_date
366,354,2018-01-03|2018-01-16
808,354,2018-03-06|2018-03-13
2745,354,2018-04-16|2018-04-17
7083,354,2019-02-12|2019-02-14
15737,354,2019-04-24|2019-04-27
73510,354,2019-09-13|2019-12-29
368,367,2018-01-04|2018-01-06
381,367,2018-01-06|2018-01-06
409,367,2018-01-06|2018-01-06
426,367,2018-01-07|2018-02-17
503,367,2018-01-16|2018-01-19
509,367,2018-01-16|2018-03-01
711,367,2018-02-26|2018-03-10
2307,367,2018-04-01|2018-04-30
2754,367,2018-04-27|2018-06-30
2757,367,2018-05-08|2018-07-17
2810,367,2018-05-14|2018-06-24
2812,367,2018-05-23|2018-05-30
2819,367,2018-05-30|2018-05-30
2820,367,2018-05-30|2018-05-30
3194,367,2018-06-13|2018-07-17
3195,367,2018-06-20|2018-07-30
3402,367,2018-07-09|2018-07-09
4209,367,2018-07-31|2018-08-30
5132,367,2018-11-30|2018-12-30
5643,367,2019-01-08|2019-01-10
6505,367,2019-01-29|2019-02-10
7085,367,2019-02-12|2019-02-12
7565,367,2019-02-21|2019-02-23
7574,367,2019-02-22|2019-02-23
8983,367,2019-02-28|2019-03-03
10900,367,2019-04-07|2019-04-07
10903,367,2019-04-08|2019-04-10
23948,367,2019-05-23|2019-05-25
28492,367,2019-06-06|2019-06-09
50981,367,2019-07-19|2019-07-28
72098,367,2019-09-03|2019-12-29
72349,367,2019-09-04|2019-12-29
73509,367,2019-09-13|2019-09-13
79038,367,2019-09-20|2019-12-29
87721,367,2019-10-01|2019-12-29
94315,367,2019-10-21|2019-12-29
105251,367,2019-11-13|2019-12-29
115057,367,2019-11-25|2019-12-29
512,511,2018-01-24|2018-01-26
4434,511,2018-10-03|2018-10-11
7084,511,2019-02-12|2019-02-14
73511,511,2019-09-13|2019-12-29
